Continent,Region/Country,Product,Variable,Year,Unit,Quantity
America,Brazil,Vineyard,Surface Area,2015,ha, 87 003
America,Brazil,Vineyard,Surface Area,2016,ha, 86 408
America,Brazil,Vineyard,Surface Area,2017,ha, 83 880
America,Brazil,Vineyard,Surface Area,2018,ha, 81 647
America,Brazil,Vineyard,Surface Area,2019,ha, 81 411
America,Brazil,Vineyard,Surface Area,2020,ha, 80 438
America,Brazil,Vineyard,Surface Area,2021,ha, 80 633
America,Brazil,Vineyard,Surface Area,2022,ha, 81 312
America,Canada,Vineyard,Surface Area,1995,ha, 7 183
America,Canada,Vineyard,Surface Area,1996,ha, 7 509
America,Canada,Vineyard,Surface Area,1997,ha, 7 371
America,Canada,Vineyard,Surface Area,1998,ha, 7 675
America,Canada,Vineyard,Surface Area,1999,ha, 8 319
America,Canada,Vineyard,Surface Area,2000,ha, 8 349
America,Canada,Vineyard,Surface Area,2001,ha, 10 582
America,Canada,Vineyard,Surface Area,2002,ha, 10 564
America,Canada,Vineyard,Surface Area,2003,ha, 10 647
America,Canada,Vineyard,Surface Area,2004,ha, 10 568
America,Canada,Vineyard,Surface Area,2005,ha, 10 595
America,Canada,Vineyard,Surface Area,2006,ha, 11 793
America,Canada,Vineyard,Surface Area,2007,ha, 11 505
America,Canada,Vineyard,Surface Area,2008,ha, 10 568
America,Canada,Vineyard,Surface Area,2009,ha, 12 412
America,Canada,Vineyard,Surface Area,2010,ha, 11 251
America,Canada,Vineyard,Surface Area,2011,ha, 11 506
America,Canada,Vineyard,Surface Area,2012,ha, 12 011
America,Canada,Vineyard,Surface Area,2013,ha, 12 449
America,Canada,Vineyard,Surface Area,2014,ha, 12 132
America,Canada,Vineyard,Surface Area,2015,ha, 11 932
America,Canada,Vineyard,Surface Area,2016,ha, 12 488
America,Canada,Vineyard,Surface Area,2017,ha, 12 457
America,Canada,Vineyard,Surface Area,2018,ha, 12 399
America,Canada,Vineyard,Surface Area,2019,ha, 12 780
America,Canada,Vineyard,Surface Area,2020,ha, 13 168
America,Canada,Vineyard,Surface Area,2021,ha, 13 191
America,Chile,Vineyard,Surface Area,1995,ha, 122 110
America,Chile,Vineyard,Surface Area,1996,ha, 124 872
America,Chile,Vineyard,Surface Area,1997,ha, 132 440
America,Chile,Vineyard,Surface Area,1998,ha, 144 429
America,Chile,Vineyard,Surface Area,1999,ha, 157 554
America,Chile,Vineyard,Surface Area,2000,ha, 174 451
America,Chile,Vineyard,Surface Area,2001,ha, 181 000
America,Chile,Vineyard,Surface Area,2002,ha, 184 000
America,Chile,Vineyard,Surface Area,2003,ha, 185 000
America,Chile,Vineyard,Surface Area,2004,ha, 189 000
America,Chile,Vineyard,Surface Area,2005,ha, 193 000
America,Chile,Vineyard,Surface Area,2006,ha, 195 479
America,Chile,Vineyard,Surface Area,2007,ha, 196 360
America,Chile,Vineyard,Surface Area,2008,ha, 198 123
America,Chile,Vineyard,Surface Area,2009,ha, 199 000
America,Chile,Vineyard,Surface Area,2010,ha, 204 250
America,Chile,Vineyard,Surface Area,2011,ha, 201 324
America,Chile,Vineyard,Surface Area,2012,ha, 204 495
America,Chile,Vineyard,Surface Area,2013,ha, 206 509
America,Chile,Vineyard,Surface Area,2014,ha, 212 870
America,Chile,Vineyard,Surface Area,2015,ha, 213 954
America,Chile,Vineyard,Surface Area,2016,ha, 209 040
America,Chile,Vineyard,Surface Area,2017,ha, 207 283
America,Chile,Vineyard,Surface Area,2018,ha, 208 171
America,Chile,Vineyard,Surface Area,2019,ha, 210 008
America,Chile,Vineyard,Surface Area,2020,ha, 207 488
America,Chile,Vineyard,Surface Area,2021,ha, 195 955
America,Chile,Vineyard,Surface Area,2022,ha, 195 860
America,Colombia,Vineyard,Surface Area,1995,ha, 1 464
America,Colombia,Vineyard,Surface Area,1996,ha, 1 355
America,Colombia,Vineyard,Surface Area,1997,ha, 1 219
America,Colombia,Vineyard,Surface Area,1998,ha, 1 236
America,Colombia,Vineyard,Surface Area,1999,ha, 1 321
America,Colombia,Vineyard,Surface Area,2000,ha, 1 104
America,Colombia,Vineyard,Surface Area,2001,ha, 1 341
America,Colombia,Vineyard,Surface Area,2002,ha, 1 236
America,Colombia,Vineyard,Surface Area,2003,ha, 1 499
America,Colombia,Vineyard,Surface Area,2004,ha, 1 428
America,Colombia,Vineyard,Surface Area,2005,ha, 2 105
America,Colombia,Vineyard,Surface Area,2006,ha, 2 308
America,Colombia,Vineyard,Surface Area,2007,ha, 2 556
America,Colombia,Vineyard,Surface Area,2008,ha, 2 574
America,Colombia,Vineyard,Surface Area,2009,ha, 2 772
America,Colombia,Vineyard,Surface Area,2010,ha, 2 768
America,Colombia,Vineyard,Surface Area,2011,ha, 2 422
America,Colombia,Vineyard,Surface Area,2012,ha, 2 404
America,Colombia,Vineyard,Surface Area,2013,ha, 2 423
America,Colombia,Vineyard,Surface Area,2014,ha, 2 338
America,Colombia,Vineyard,Surface Area,2015,ha, 2 380
America,Colombia,Vineyard,Surface Area,2016,ha, 2 592
America,Colombia,Vineyard,Surface Area,2017,ha, 2 767
America,Colombia,Vineyard,Surface Area,2018,ha, 3 973
America,Colombia,Vineyard,Surface Area,2019,ha, 4 292
America,Colombia,Vineyard,Surface Area,2020,ha, 2 687
America,Colombia,Vineyard,Surface Area,2021,ha, 3 131
America,Cuba,Vineyard,Surface Area,1995,ha,0
America,Cuba,Vineyard,Surface Area,1996,ha,0
America,Cuba,Vineyard,Surface Area,1997,ha,0
America,Cuba,Vineyard,Surface Area,1998,ha,0
America,Cuba,Vineyard,Surface Area,1999,ha, 2 526
America,Cuba,Vineyard,Surface Area,2000,ha, 2 580
America,Cuba,Vineyard,Surface Area,2001,ha, 2 473
America,Cuba,Vineyard,Surface Area,2002,ha, 1 935
America,Cuba,Vineyard,Surface Area,2003,ha, 1 989
America,Cuba,Vineyard,Surface Area,2004,ha, 1 828
America,Cuba,Vineyard,Surface Area,2005,ha, 1 828
America,Cuba,Vineyard,Surface Area,2006,ha, 1 720
America,Cuba,Vineyard,Surface Area,2007,ha, 1 828
America,Cuba,Vineyard,Surface Area,2008,ha, 1 828
America,Cuba,Vineyard,Surface Area,2009,ha, 1 720
America,Cuba,Vineyard,Surface Area,2010,ha, 1 828
America,Cuba,Vineyard,Surface Area,2011,ha, 1 720
America,Cuba,Vineyard,Surface Area,2012,ha, 1 828
America,Cuba,Vineyard,Surface Area,2013,ha, 1 828
America,Cuba,Vineyard,Surface Area,2014,ha, 1 774
America,Cuba,Vineyard,Surface Area,2015,ha, 1 734
America,Cuba,Vineyard,Surface Area,2016,ha, 1 712
America,Cuba,Vineyard,Surface Area,2017,ha, 1 692
America,Cuba,Vineyard,Surface Area,2018,ha, 1 695
America,Cuba,Vineyard,Surface Area,2019,ha, 1 699
America,Cuba,Vineyard,Surface Area,2020,ha, 1 692
America,Cuba,Vineyard,Surface Area,2021,ha, 1 685
America,Ecuador,Vineyard,Surface Area,1995,ha,  60
America,Ecuador,Vineyard,Surface Area,1996,ha,  75
America,Ecuador,Vineyard,Surface Area,1997,ha,  161
America,Ecuador,Vineyard,Surface Area,1998,ha,  96
America,Ecuador,Vineyard,Surface Area,1999,ha,  78
America,Ecuador,Vineyard,Surface Area,2000,ha,  115
America,Ecuador,Vineyard,Surface Area,2001,ha,  86
America,Ecuador,Vineyard,Surface Area,2002,ha,  81
America,Ecuador,Vineyard,Surface Area,2003,ha,  96
America,Ecuador,Vineyard,Surface Area,2004,ha,  66
America,Ecuador,Vineyard,Surface Area,2005,ha,  83
America,Ecuador,Vineyard,Surface Area,2006,ha,  86
America,Ecuador,Vineyard,Surface Area,2007,ha,  91
America,Ecuador,Vineyard,Surface Area,2008,ha,  65
America,Ecuador,Vineyard,Surface Area,2009,ha,  70
America,Ecuador,Vineyard,Surface Area,2010,ha,  81
America,Ecuador,Vineyard,Surface Area,2011,ha,  83
America,Ecuador,Vineyard,Surface Area,2012,ha,  82
America,Ecuador,Vineyard,Surface Area,2013,ha,  82
America,Ecuador,Vineyard,Surface Area,2014,ha,  84
America,Ecuador,Vineyard,Surface Area,2015,ha,  84
America,Ecuador,Vineyard,Surface Area,2016,ha,  84
America,Ecuador,Vineyard,Surface Area,2017,ha,  84
America,Ecuador,Vineyard,Surface Area,2018,ha,  84
America,Ecuador,Vineyard,Surface Area,2019,ha,  84
America,Ecuador,Vineyard,Surface Area,2020,ha,  84
America,Ecuador,Vineyard,Surface Area,2021,ha,  84
America,Grenada,Vineyard,Surface Area,1995,ha, 1 957
America,Grenada,Vineyard,Surface Area,1996,ha, 2 032
America,Grenada,Vineyard,Surface Area,1997,ha, 2 032
America,Grenada,Vineyard,Surface Area,1998,ha, 2 032
America,Grenada,Vineyard,Surface Area,1999,ha, 2 107
America,Grenada,Vineyard,Surface Area,2000,ha, 2 107
America,Grenada,Vineyard,Surface Area,2001,ha, 2 150
America,Grenada,Vineyard,Surface Area,2002,ha, 2 181
America,Grenada,Vineyard,Surface Area,2003,ha, 2 266
America,Grenada,Vineyard,Surface Area,2004,ha, 2 302
America,Grenada,Vineyard,Surface Area,2005,ha, 2 344
America,Grenada,Vineyard,Surface Area,2006,ha, 2 384
America,Grenada,Vineyard,Surface Area,2007,ha, 2 426
America,Grenada,Vineyard,Surface Area,2008,ha, 2 467
America,Grenada,Vineyard,Surface Area,2009,ha, 2 508
America,Grenada,Vineyard,Surface Area,2010,ha, 2 549
America,Grenada,Vineyard,Surface Area,2011,ha, 2 590
America,Grenada,Vineyard,Surface Area,2012,ha, 2 629
America,Grenada,Vineyard,Surface Area,2013,ha, 2 670
America,Grenada,Vineyard,Surface Area,2014,ha, 2 711
America,Grenada,Vineyard,Surface Area,2015,ha, 2 776
America,Grenada,Vineyard,Surface Area,2016,ha, 2 829
America,Grenada,Vineyard,Surface Area,2017,ha, 2 878
America,Grenada,Vineyard,Surface Area,2018,ha, 2 827
America,Grenada,Vineyard,Surface Area,2019,ha, 2 844
America,Grenada,Vineyard,Surface Area,2020,ha, 2 850
America,Grenada,Vineyard,Surface Area,2021,ha, 2 841
America,Honduras,Vineyard,Surface Area,1995,ha,  27
America,Honduras,Vineyard,Surface Area,1996,ha,  27
America,Honduras,Vineyard,Surface Area,1997,ha,  27
America,Honduras,Vineyard,Surface Area,1998,ha,  27
America,Honduras,Vineyard,Surface Area,1999,ha,  27
America,Honduras,Vineyard,Surface Area,2000,ha,  27
America,Honduras,Vineyard,Surface Area,2001,ha,  27
America,Honduras,Vineyard,Surface Area,2002,ha,  27
America,Honduras,Vineyard,Surface Area,2003,ha,  28
America,Honduras,Vineyard,Surface Area,2004,ha,  30
America,Honduras,Vineyard,Surface Area,2005,ha,  32
America,Honduras,Vineyard,Surface Area,2006,ha,  33
America,Honduras,Vineyard,Surface Area,2007,ha,  38
America,Honduras,Vineyard,Surface Area,2008,ha,  38
America,Honduras,Vineyard,Surface Area,2009,ha,  34
America,Honduras,Vineyard,Surface Area,2010,ha,  35
America,Honduras,Vineyard,Surface Area,2011,ha,  37
America,Honduras,Vineyard,Surface Area,2012,ha,  37
America,Honduras,Vineyard,Surface Area,2013,ha,  38
America,Honduras,Vineyard,Surface Area,2014,ha,  38
America,Honduras,Vineyard,Surface Area,2015,ha,  39
America,Honduras,Vineyard,Surface Area,2016,ha,  39
America,Honduras,Vineyard,Surface Area,2017,ha,  40
America,Honduras,Vineyard,Surface Area,2018,ha,  41
America,Honduras,Vineyard,Surface Area,2019,ha,  41
America,Honduras,Vineyard,Surface Area,2020,ha,  40
America,Honduras,Vineyard,Surface Area,2021,ha,  41
America,Mexico,Vineyard,Surface Area,1995,ha, 46 049
America,Mexico,Vineyard,Surface Area,1996,ha, 44 853
America,Mexico,Vineyard,Surface Area,1997,ha, 42 401
America,Mexico,Vineyard,Surface Area,1998,ha, 42 070
America,Mexico,Vineyard,Surface Area,1999,ha, 43 170
America,Mexico,Vineyard,Surface Area,2000,ha, 42 000
America,Mexico,Vineyard,Surface Area,2001,ha, 40 000
America,Mexico,Vineyard,Surface Area,2002,ha, 39 000
America,Mexico,Vineyard,Surface Area,2003,ha, 36 000
America,Mexico,Vineyard,Surface Area,2004,ha, 35 000
America,Mexico,Vineyard,Surface Area,2005,ha, 33 000
America,Mexico,Vineyard,Surface Area,2006,ha, 30 642
America,Mexico,Vineyard,Surface Area,2007,ha, 29 763
America,Mexico,Vineyard,Surface Area,2008,ha, 27 913
America,Mexico,Vineyard,Surface Area,2009,ha, 27 872
America,Mexico,Vineyard,Surface Area,2010,ha, 27 684
America,Mexico,Vineyard,Surface Area,2011,ha, 27 831
America,Mexico,Vineyard,Surface Area,2012,ha, 28 941
America,Mexico,Vineyard,Surface Area,2013,ha, 29 444
America,Mexico,Vineyard,Surface Area,2014,ha, 29 466
America,Mexico,Vineyard,Surface Area,2015,ha, 30 195
America,Mexico,Vineyard,Surface Area,2016,ha, 31 420
America,Mexico,Vineyard,Surface Area,2017,ha, 33 714
America,Mexico,Vineyard,Surface Area,2018,ha, 36 654
America,Mexico,Vineyard,Surface Area,2019,ha, 37 035
America,Mexico,Vineyard,Surface Area,2020,ha, 39 243
America,Mexico,Vineyard,Surface Area,2021,ha, 35 955
America,Paraguay,Vineyard,Surface Area,1995,ha, 1 405
America,Paraguay,Vineyard,Surface Area,1996,ha, 1 405
America,Paraguay,Vineyard,Surface Area,1997,ha, 1 425
America,Paraguay,Vineyard,Surface Area,1998,ha, 1 420
America,Paraguay,Vineyard,Surface Area,1999,ha, 1 301
America,Paraguay,Vineyard,Surface Area,2000,ha,  984
America,Paraguay,Vineyard,Surface Area,2001,ha,  987
America,Paraguay,Vineyard,Surface Area,2002,ha,  985
America,Paraguay,Vineyard,Surface Area,2003,ha,  406
America,Paraguay,Vineyard,Surface Area,2004,ha,  488
America,Paraguay,Vineyard,Surface Area,2005,ha,  505
America,Paraguay,Vineyard,Surface Area,2006,ha,  511
America,Paraguay,Vineyard,Surface Area,2007,ha,  538
America,Paraguay,Vineyard,Surface Area,2008,ha,  368
America,Paraguay,Vineyard,Surface Area,2009,ha,  376
America,Paraguay,Vineyard,Surface Area,2010,ha,  375
America,Paraguay,Vineyard,Surface Area,2011,ha,  375
America,Paraguay,Vineyard,Surface Area,2012,ha,  375
America,Paraguay,Vineyard,Surface Area,2013,ha,  375
America,Paraguay,Vineyard,Surface Area,2014,ha,  374
America,Paraguay,Vineyard,Surface Area,2015,ha,  371
America,Paraguay,Vineyard,Surface Area,2016,ha,  372
America,Paraguay,Vineyard,Surface Area,2017,ha,  376
America,Paraguay,Vineyard,Surface Area,2018,ha,  376
America,Paraguay,Vineyard,Surface Area,2019,ha,  376
America,Paraguay,Vineyard,Surface Area,2020,ha,  374
America,Paraguay,Vineyard,Surface Area,2021,ha,  377
America,Peru,Vineyard,Surface Area,1995,ha, 11 505
America,Peru,Vineyard,Surface Area,1996,ha, 12 163
America,Peru,Vineyard,Surface Area,1997,ha, 13 295
America,Peru,Vineyard,Surface Area,1998,ha, 11 095
America,Peru,Vineyard,Surface Area,1999,ha, 11 098
America,Peru,Vineyard,Surface Area,2000,ha, 11 064
America,Peru,Vineyard,Surface Area,2001,ha, 12 446
America,Peru,Vineyard,Surface Area,2002,ha, 11 757
America,Peru,Vineyard,Surface Area,2003,ha, 11 824
America,Peru,Vineyard,Surface Area,2004,ha, 12 282
America,Peru,Vineyard,Surface Area,2005,ha, 12 338
America,Peru,Vineyard,Surface Area,2006,ha, 12 371
America,Peru,Vineyard,Surface Area,2007,ha, 13 123
America,Peru,Vineyard,Surface Area,2008,ha, 14 244
America,Peru,Vineyard,Surface Area,2009,ha, 14 993
America,Peru,Vineyard,Surface Area,2010,ha, 18 000
America,Peru,Vineyard,Surface Area,2011,ha, 21 996
America,Peru,Vineyard,Surface Area,2012,ha, 25 699
America,Peru,Vineyard,Surface Area,2013,ha, 28 022
America,Peru,Vineyard,Surface Area,2014,ha, 30 793
America,Peru,Vineyard,Surface Area,2015,ha, 33 923
America,Peru,Vineyard,Surface Area,2016,ha, 36 873
America,Peru,Vineyard,Surface Area,2017,ha, 38 429
America,Peru,Vineyard,Surface Area,2018,ha, 40 142
America,Peru,Vineyard,Surface Area,2019,ha, 40 451
America,Peru,Vineyard,Surface Area,2020,ha, 40 749
America,Peru,Vineyard,Surface Area,2021,ha, 40 385
America,United States of America,Vineyard,Surface Area,1995,ha, 340 460
America,United States of America,Vineyard,Surface Area,1996,ha, 351 858
America,United States of America,Vineyard,Surface Area,1997,ha, 363 387
America,United States of America,Vineyard,Surface Area,1998,ha, 372 436
America,United States of America,Vineyard,Surface Area,1999,ha, 394 492
America,United States of America,Vineyard,Surface Area,2000,ha, 413 286
America,United States of America,Vineyard,Surface Area,2001,ha, 405 672
America,United States of America,Vineyard,Surface Area,2002,ha, 413 286
America,United States of America,Vineyard,Surface Area,2003,ha, 414 721
America,United States of America,Vineyard,Surface Area,2004,ha, 407 456
America,United States of America,Vineyard,Surface Area,2005,ha, 408 326
America,United States of America,Vineyard,Surface Area,2006,ha, 409 196
America,United States of America,Vineyard,Surface Area,2007,ha, 407 413
America,United States of America,Vineyard,Surface Area,2008,ha, 411 023
America,United States of America,Vineyard,Surface Area,2009,ha, 420 116
America,United States of America,Vineyard,Surface Area,2010,ha, 432 732
America,United States of America,Vineyard,Surface Area,2011,ha, 438 922
America,United States of America,Vineyard,Surface Area,2012,ha, 442 877
America,United States of America,Vineyard,Surface Area,2013,ha, 453 361
America,United States of America,Vineyard,Surface Area,2014,ha, 449 698
America,United States of America,Vineyard,Surface Area,2015,ha, 445 565
America,United States of America,Vineyard,Surface Area,2016,ha, 439 214
America,United States of America,Vineyard,Surface Area,2017,ha, 434 080
America,United States of America,Vineyard,Surface Area,2018,ha, 407 630
America,United States of America,Vineyard,Surface Area,2019,ha, 406 760
America,United States of America,Vineyard,Surface Area,2020,ha, 402 409
America,United States of America,Vineyard,Surface Area,2021,ha, 393 274
America,United States of America,Vineyard,Surface Area,2022,ha, 390 000
America,Uruguay,Vineyard,Surface Area,1995,ha, 10 140
America,Uruguay,Vineyard,Surface Area,1996,ha, 10 140
America,Uruguay,Vineyard,Surface Area,1997,ha, 10 140
America,Uruguay,Vineyard,Surface Area,1998,ha, 10 750
America,Uruguay,Vineyard,Surface Area,1999,ha, 10 213
America,Uruguay,Vineyard,Surface Area,2000,ha, 9 831
America,Uruguay,Vineyard,Surface Area,2001,ha, 9 746
America,Uruguay,Vineyard,Surface Area,2002,ha, 9 828
America,Uruguay,Vineyard,Surface Area,2003,ha, 9 890
America,Uruguay,Vineyard,Surface Area,2004,ha, 9 000
America,Uruguay,Vineyard,Surface Area,2005,ha, 9 000
America,Uruguay,Vineyard,Surface Area,2006,ha, 9 219
America,Uruguay,Vineyard,Surface Area,2007,ha, 9 301
America,Uruguay,Vineyard,Surface Area,2008,ha, 9 141
America,Uruguay,Vineyard,Surface Area,2009,ha, 8 737
America,Uruguay,Vineyard,Surface Area,2010,ha, 8 602
America,Uruguay,Vineyard,Surface Area,2011,ha, 8 502
America,Uruguay,Vineyard,Surface Area,2012,ha, 8 624
America,Uruguay,Vineyard,Surface Area,2013,ha, 8 441
America,Uruguay,Vineyard,Surface Area,2014,ha, 8 079
America,Uruguay,Vineyard,Surface Area,2015,ha, 7 517
America,Uruguay,Vineyard,Surface Area,2016,ha, 7 251
America,Uruguay,Vineyard,Surface Area,2017,ha, 7 054
America,Uruguay,Vineyard,Surface Area,2018,ha, 6 819
America,Uruguay,Vineyard,Surface Area,2019,ha, 6 605
America,Uruguay,Vineyard,Surface Area,2020,ha, 6 440
America,Uruguay,Vineyard,Surface Area,2021,ha, 6 413
America,Uruguay,Vineyard,Surface Area,2022,ha, 6 287
America,Venezuela,Vineyard,Surface Area,1995,ha,  815
America,Venezuela,Vineyard,Surface Area,1996,ha,  837
America,Venezuela,Vineyard,Surface Area,1997,ha,  853
America,Venezuela,Vineyard,Surface Area,1998,ha,  891
America,Venezuela,Vineyard,Surface Area,1999,ha,  807
America,Venezuela,Vineyard,Surface Area,2000,ha,  800
America,Venezuela,Vineyard,Surface Area,2001,ha,  688
America,Venezuela,Vineyard,Surface Area,2002,ha,  700
America,Venezuela,Vineyard,Surface Area,2003,ha,  707
America,Venezuela,Vineyard,Surface Area,2004,ha, 1 000
America,Venezuela,Vineyard,Surface Area,2005,ha,  920
America,Venezuela,Vineyard,Surface Area,2006,ha,  988
America,Venezuela,Vineyard,Surface Area,2007,ha, 1 155
America,Venezuela,Vineyard,Surface Area,2008,ha, 1 494
America,Venezuela,Vineyard,Surface Area,2009,ha, 1 000
America,Venezuela,Vineyard,Surface Area,2010,ha, 1 091
America,Venezuela,Vineyard,Surface Area,2011,ha, 1 561
America,Venezuela,Vineyard,Surface Area,2012,ha, 1 048
America,Venezuela,Vineyard,Surface Area,2013,ha, 1 253
America,Venezuela,Vineyard,Surface Area,2014,ha, 1 270
America,Venezuela,Vineyard,Surface Area,2015,ha, 1 259
America,Venezuela,Vineyard,Surface Area,2016,ha, 1 341
America,Venezuela,Vineyard,Surface Area,2017,ha, 1 342
America,Venezuela,Vineyard,Surface Area,2018,ha, 1 342
America,Venezuela,Vineyard,Surface Area,2019,ha, 1 290
America,Venezuela,Vineyard,Surface Area,2020,ha, 1 276
America,Venezuela,Vineyard,Surface Area,2021,ha, 1 391
America,Antigua and Barbuda,Wine,Consumption,1995,1000 hl,  1
America,Antigua and Barbuda,Wine,Exports,1995,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,1995,1000 hl,  2
America,Antigua and Barbuda,Wine,Consumption,1996,1000 hl,  2
America,Antigua and Barbuda,Wine,Exports,1996,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,1996,1000 hl,  2
America,Antigua and Barbuda,Wine,Consumption,1997,1000 hl,  2
America,Antigua and Barbuda,Wine,Exports,1997,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,1997,1000 hl,  3
America,Antigua and Barbuda,Wine,Consumption,1998,1000 hl,  3
America,Antigua and Barbuda,Wine,Exports,1998,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,1998,1000 hl,  3
America,Antigua and Barbuda,Wine,Consumption,1999,1000 hl,  3
America,Antigua and Barbuda,Wine,Exports,1999,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,1999,1000 hl,  3
America,Antigua and Barbuda,Wine,Consumption,2000,1000 hl,  4
America,Antigua and Barbuda,Wine,Exports,2000,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,2000,1000 hl,  5
America,Antigua and Barbuda,Wine,Consumption,2001,1000 hl,  5
America,Antigua and Barbuda,Wine,Exports,2001,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,2001,1000 hl,  5
America,Antigua and Barbuda,Wine,Consumption,2002,1000 hl,  5
America,Antigua and Barbuda,Wine,Exports,2002,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,2002,1000 hl,  5
America,Antigua and Barbuda,Wine,Consumption,2003,1000 hl,  4
America,Antigua and Barbuda,Wine,Exports,2003,1000 hl,0
America,Antigua and Barbuda,Wine,Imports,2003,1000 hl,  4
America,Antigua and Barbuda,Wine,Consumption,2004,1000 hl,  3
America,Antigua and Barbuda,Wine,Exports,2004,1000 hl,  3
